15:23:29.923 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:29.926 INFO    thonny: TIME/MODS 0.003 Sending message ProgramOutput 
15:23:29.927 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:29.929 INFO    thonny: TIME/MODS 0.002 Sending message ProgramOutput 
15:23:29.931 INFO    thonny: TIME/MODS 0.002 Sending message ProgramOutput 
15:23:29.933 INFO    thonny: TIME/MODS 0.002 Sending message ProgramOutput 
15:23:29.935 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:29.936 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:29.937 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:29.937 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:29.938 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:29.943 INFO    thonny: TIME/MODS 0.005 Sending message ProgramOutput 
15:23:29.943 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:29.945 INFO    thonny: TIME/MODS 0.002 Sending message ProgramOutput 
15:23:29.946 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:29.946 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:29.947 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:29.949 INFO    thonny: TIME/MODS 0.002 Sending message ProgramOutput 
15:23:29.950 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:29.952 INFO    thonny: TIME/MODS 0.002 Sending message ProgramOutput 
15:23:29.954 INFO    thonny: TIME/MODS 0.002 Sending message ProgramOutput 
15:23:29.955 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:29.957 INFO    thonny: TIME/MODS 0.002 Sending message ProgramOutput 
15:23:29.959 INFO    thonny: TIME/MODS 0.002 Sending message ProgramOutput 
15:23:29.960 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:29.961 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:29.962 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:29.963 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:29.964 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:29.966 INFO    thonny: TIME/MODS 0.002 Sending message ProgramOutput 
15:23:29.967 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:29.968 INFO    thonny: TIME/MODS 0.002 Sending message ProgramOutput 
15:23:29.969 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:29.970 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:29.970 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:29.978 INFO    thonny: TIME/MODS 0.008 Sending message ProgramOutput 
15:23:29.979 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:29.980 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:29.981 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:29.982 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:29.983 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:29.985 INFO    thonny: TIME/MODS 0.003 Sending message ProgramOutput 
15:23:29.987 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:29.988 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:29.989 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:29.990 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:29.990 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:29.993 INFO    thonny: TIME/MODS 0.002 Sending message ProgramOutput 
15:23:29.995 INFO    thonny: TIME/MODS 0.002 Sending message ProgramOutput 
15:23:29.997 INFO    thonny: TIME/MODS 0.002 Sending message ProgramOutput 
15:23:29.999 INFO    thonny: TIME/MODS 0.002 Sending message ProgramOutput 
15:23:30.000 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.001 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.003 INFO    thonny: TIME/MODS 0.002 Sending message ProgramOutput 
15:23:30.004 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.006 INFO    thonny: TIME/MODS 0.002 Sending message ProgramOutput 
15:23:30.007 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.007 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.008 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.012 INFO    thonny: TIME/MODS 0.004 Sending message ProgramOutput 
15:23:30.013 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.013 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.014 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.015 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.015 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.018 INFO    thonny: TIME/MODS 0.002 Sending message ProgramOutput 
15:23:30.019 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.020 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.021 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.022 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.023 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.025 INFO    thonny: TIME/MODS 0.002 Sending message ProgramOutput 
15:23:30.027 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.028 INFO    thonny: TIME/MODS 0.002 Sending message ProgramOutput 
15:23:30.029 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.029 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.030 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.032 INFO    thonny: TIME/MODS 0.002 Sending message ProgramOutput 
15:23:30.034 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.035 INFO    thonny: TIME/MODS 0.002 Sending message ProgramOutput 
15:23:30.037 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.038 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.039 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.047 INFO    thonny: TIME/MODS 0.008 Sending message ProgramOutput 
15:23:30.048 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.049 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.050 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.050 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.051 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.053 INFO    thonny: TIME/MODS 0.003 Sending message ProgramOutput 
15:23:30.055 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.056 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.057 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.058 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.058 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.060 INFO    thonny: TIME/MODS 0.002 Sending message ProgramOutput 
15:23:30.061 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.063 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.063 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.064 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.065 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.068 INFO    thonny: TIME/MODS 0.002 Sending message ProgramOutput 
15:23:30.069 INFO    thonny: TIME/MODS 0.002 Sending message ProgramOutput 
15:23:30.070 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.071 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.072 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.074 INFO    thonny: TIME/MODS 0.002 Sending message ProgramOutput 
15:23:30.081 INFO    thonny: TIME/MODS 0.008 Sending message ProgramOutput 
15:23:30.083 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.084 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.084 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.085 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.086 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.087 INFO    thonny: TIME/MODS 0.002 Sending message ProgramOutput 
15:23:30.088 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.090 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.090 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.091 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.092 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.106 INFO    thonny: TIME/MODS 0.014 Sending message ProgramOutput 
15:23:30.106 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.107 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.108 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.109 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
